Sample,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,SAMPLE,LIBRARY,READ_GROUP,PF_NOT_ALIGNED_BASES
ENCSR850LOZ_2,10880734444,9292001889,10706,4912764100,2591157174,960197037,827873702,0,4722581,4807678,1.00E-04,52.8709,27.8859,10.3336,8.9095,80.7568,68.9652,49.5535,0.622783,0.532611,0.420696,0.856851,,,,1588732555
ENCSR862UHT_1,10610472382,7441135961,82012,4660885869,1812194075,573413238,394565292,0,3518769,3566693,0.0011,62.6368,24.3537,7.706,5.3025,86.9905,61.0065,49.6618,0.670416,0.519454,0.312255,1.111942,,,,3169336421
ENCSR862UHT_2,5831333576,4029026895,34340,2453716425,927783623,381630829,265863793,0,1810260,1818376,0.0009,60.901,23.0275,9.472,6.5987,83.9285,57.9885,49.8882,0.672227,0.555142,0.29944,1.16767,,,,1802306681
ENCSR898UNK_1,9363293274,5669754558,404000,3378362076,1292515385,547459861,451030824,0,2506187,2526994,0.0071,59.5857,22.7967,9.6558,7.955,82.3824,49.885,49.7933,0.653304,0.524857,0.342815,1.041779,,,,3693538716
ENCSR898UNK_2,10502415310,5789549984,643168,3506153101,1367471794,471135030,444177251,0,2634813,2698513,0.0111,60.56,23.6197,8.1377,7.6721,84.1797,46.4048,49.4028,0.656028,0.526769,0.3436,1.096185,,,,4712865326
ENCSR900AQL_1,8089896182,6409536712,20806,3756267181,1688228489,590709065,374312352,0,3089128,3127039,0.0003,58.6043,26.3393,9.2161,5.8399,84.9437,67.2999,49.6951,0.663123,0.638076,0.380218,1.172106,,,,1680359470
ENCSR900AQL_2,8150614958,6772302141,17574,4205256569,1708427309,540490573,318110925,0,3340853,3379507,0.0003,62.0949,25.2267,7.9809,4.6972,87.3216,72.5551,49.7124,0.68095,0.628241,0.35447,1.124795,,,,1378312817
ENCSR905SEH_1,7401233338,3540944169,1269570,2062221326,964435933,253000524,260073989,0,1858997,1972741,0.0359,58.2393,27.2367,7.145,7.3448,85.476,40.894,48.5158,0.688313,0.670311,0.368655,1.205901,,,,3860289169
ENCSR905SEH_2,6590465130,3773891636,655086,2190400071,1012224343,294573746,276065003,0,1796762,1916986,0.0174,58.0409,26.8218,7.8056,7.3151,84.8626,48.5948,48.3814,0.677378,0.64272,0.363977,1.152813,,,,2816573494
ENCSR911BML_1,9829304042,8372757087,54742,5265572584,2129398739,525801226,451933736,0,3762400,3818068,0.0007,62.8894,25.4325,6.2799,5.3977,88.3218,75.2339,49.6328,0.674295,0.656689,0.363166,1.177287,,,,1456546955
ENCSR911BML_2,8260417916,6621429314,707808,3027644410,1418611936,904071011,1270445820,0,2556778,3129351,0.0107,45.7249,21.4246,13.6537,19.1869,67.1495,53.826,44.9652,0.653209,0.689185,0.419794,1.113515,,,,1638988602
ENCSR942XXL_1,7140314786,6036727181,22220,2776163342,1185499797,1175096208,899946869,0,2180716,2228340,0.0004,45.9879,19.6381,19.4658,14.9079,65.626,55.483,49.4599,0.664675,0.607598,0.359832,1.10152,,,,1103587605
ENCSR942XXL_2,8579577310,7313565749,99384,4082295704,1989403431,605256442,636517451,0,3520498,3758277,0.0014,55.8181,27.2016,8.2758,8.7032,83.0197,70.7692,48.3666,0.642375,0.628979,0.418641,0.937465,,,,1266011561
FAIL_EXAMPLE,17668396476,1540249,0,132792,318740,880882,207835,0,1885,631,0,8.6215,20.6941,57.1909,13.4936,29.3155,0.0026,74.9205,1.075264,0.711797,0.311012,2.153846,,,,17666856227
